URL,size,Outgoing Links,Content-Type
https://www.dailymail.co.uk/news/article-6724815/Family-British-tourist-20-disappeared-NSW-beach-say-living-nightmare.html,536243,960,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725649/Saudi-Crown-Prince-hugs-Indias-leader-Narendra-Modi-revealing-100BILLION-investment.html,527695,958,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726721/Australian-taxpayers-spend-50M-false-asylum-claims.html,517528,949,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6720817/Harvey-Weinsteins-criminal-trial-hes-accused-raping-two-women-DELAYED.html,530544,954,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724597/Neighbour-claims-heard-domestic-abuse-Alesha-MacPhails-father-girlfriend.html,526698,955,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726041/Alexandria-Ocasio-Cortez-lashes-critics-attacks-Amazon.html,537767,961,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727031/Cold-blooded-triple-killer-Berwyn-Rees-walk-free-38-years-prison.html,545901,962,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6719039/Home-Secretary-looking-carefully-call-rewrite-treason-law.html,528029,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6725301/Pensioner-court-accused-driving-car-pram-baby-Swansea.html,510993,946,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726735/British-born-born-no-brain-learns-count-surf-receiving-treatment-Australia.html,526945,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6722603/Gulf-War-hero-John-Nichol-says-farewall-Tornado-jet-retired-45-years.html,174598,176,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6727271/Endangered-birds-threatening-derail-2billion-Adani-coal-bred-homes.html,517848,952,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6726157/Michael-Cohen-gets-REPRIEVE-doesnt-report-prison-May.html,540428,958,text/html;charset=UTF-8
https://www.dailymail.co.uk/news/article-6724091/Fascinating-unseen-photos-taken-Nazi-soldier-Germans-Dunkirk.html,208583,207,text/html;charset=UTF-8
